code,name,行业,上市时间,最新,涨幅,股息率_2024
000539,粤电力A,电力行业,19931126,4.31,-0.69,0.46
000541,佛山照明,家电行业,19931123,6.15,-1.44,1.95
000543,皖能电力,电力行业,19931220,7.39,-0.67,4.32
000544,中原环保,公用事业,19931208,8.16,-1.09,3.19
000545,金浦钛业,化学原料,19931215,2.41,1.26,0.0
000546,金圆股份,环保行业,19931215,4.32,-0.23,0.0
000547,航天发展,通信设备,19931130,7.15,-1.24,0.0
000548,湖南投资,铁路公路,19931220,5.13,-2.1,0.97
000550,江铃汽车,汽车整车,19931201,21.08,-2.41,3.38
000551,创元科技,环保行业,19940106,12.23,0.08,0.82
000552,甘肃能化,煤炭行业,19940106,2.38,-1.65,2.86
000553,安道麦A,农药兽药,19931203,6.97,0.14,0.0
000554,泰山石油,石油行业,19931215,6.2,-0.8,1.68
000555,神州信息,互联网服务,19940408,11.04,1.1,0.0
000557,西部创业,物流行业,19940617,5.18,-1.33,0.97
000558,莱茵体育,旅游酒店,19940509,3.88,-2.27,0.0
000559,万向钱潮,汽车零部件,19940110,8.26,-1.9,2.18
000560,我爱我家,房地产服务,19940202,3.05,-0.97,0.14
000561,烽火电子,通信设备,19940509,9.57,10.0,0.1
000563,陕国投A,多元金融,19940110,3.34,-0.6,2.69
000564,供销大集,商业百货,19940110,2.46,-1.6,0.0
000565,渝三峡A,化学制品,19940408,10.38,-2.26,0.14
000566,海南海药,化学制药,19940525,5.86,-3.62,0.0
000567,海德股份,多元金融,19940525,5.46,-2.33,0.0
000568,泸州老窖,酿酒行业,19940509,121.84,-0.21,4.88
000570,苏常柴A,汽车零部件,19940701,5.5,-1.96,0.18
000571,新大洲A,煤炭行业,19940525,4.41,-1.56,0.0
000572,海马汽车,汽车整车,19940808,4.06,-0.25,0.0
000573,粤宏远A,房地产开发,19940815,4.73,-0.63,1.06
000576,甘化科工,电源设备,19940907,8.62,3.86,0.0
000581,威孚高科,汽车零部件,19980924,20.4,0.34,5.49
000582,北部湾港,航运港口,19951102,8.86,-4.94,2.23
000586,汇源通信,通信设备,19951220,10.16,-1.93,0.0
000589,贵州轮胎,橡胶制品,19960308,4.5,-0.66,2.89
000590,启迪药业,中药,19960119,9.75,0.21,0.0
000591,太阳能,电力行业,19960208,4.31,-1.15,2.62
000592,平潭发展,农牧饲渔,19960327,2.95,-1.34,0.0
000593,德龙汇能,燃气,19960312,5.57,-1.24,0.0
000595,宝塔实业,通用设备,19960419,4.78,-3.63,0.0
000596,古井贡酒,酿酒行业,19960927,153.82,-1.21,3.9
000597,东北制药,化学制药,19960523,5.28,1.73,1.89
000598,兴蓉环境,公用事业,19960529,7.18,-0.83,2.6
000599,青岛双星,橡胶制品,19960430,4.77,-0.42,0.0
000600,建投能源,电力行业,19960606,6.76,2.11,1.92
000601,韶能股份,电力行业,19960830,5.08,-3.05,3.94
000603,盛达资源,有色金属,19960823,13.24,-1.34,0.76
000605,渤海股份,公用事业,19960913,7.8,-4.06,0.26
000607,华媒控股,文化传媒,19960830,3.75,-0.53,0.0
000608,阳光股份,房地产服务,19960919,1.81,0.0,0.0
000609,*ST中迪,房地产开发,19961010,2.93,-4.87,0.0
000610,西安旅游,旅游酒店,19960926,12.19,-0.89,0.0
000612,焦作万方,有色金属,19960926,7.56,-0.53,1.72
000615,ST美谷,美容护理,19961016,3.15,-0.63,0.0
000617,中油资本,多元金融,19961022,6.75,-0.74,1.73
000619,海螺新材,装修建材,19961023,5.99,-1.16,0.0
000620,新华联,房地产开发,19961029,1.67,-1.76,0.0
000623,吉林敖东,化学制药,19961028,16.22,-1.1,3.08
000625,长安汽车,汽车整车,19970610,12.81,0.87,2.3
000626,远大控股,贸易行业,19961128,6.08,-1.62,0.0
000628,高新发展,工程建设,19961118,46.05,-3.32,0.12
000629,钒钛股份,钢铁行业,19961115,2.55,-0.78,0.0
000630,铜陵有色,有色金属,19961120,3.15,-0.94,3.17
000631,顺发恒业,房地产开发,19961122,2.81,-1.4,0.0
000632,三木集团,综合行业,19961121,3.5,-2.23,0.0
000633,合金投资,有色金属,19961112,6.59,1.54,0.0
000635,英力特,化学原料,19961120,8.51,-2.07,0.0
000636,风华高科,电子元件,19961129,13.22,-0.75,1.13
000637,茂化实华,石油行业,19961114,3.75,-3.85,0.0
000638,万方发展,农牧饲渔,19961126,4.08,-2.63,0.0
000639,西王食品,食品饮料,19961126,2.98,-4.49,0.0
